,n.swab,n.PCR,B1,B2,G1,G2,psi,lambda
1,1,1,-1.386294,1,-1.386294,1,0.2,20
2,2,1,-1.386294,1,-1.386294,1,0.2,20
3,3,1,-1.386294,1,-1.386294,1,0.2,20
4,4,1,-1.386294,1,-1.386294,1,0.2,20
5,1,2,-1.386294,1,-1.386294,1,0.2,20
6,2,2,-1.386294,1,-1.386294,1,0.2,20
7,3,2,-1.386294,1,-1.386294,1,0.2,20
8,4,2,-1.386294,1,-1.386294,1,0.2,20
9,1,3,-1.386294,1,-1.386294,1,0.2,20
10,2,3,-1.386294,1,-1.386294,1,0.2,20
11,3,3,-1.386294,1,-1.386294,1,0.2,20
12,4,3,-1.386294,1,-1.386294,1,0.2,20
13,1,4,-1.386294,1,-1.386294,1,0.2,20
14,2,4,-1.386294,1,-1.386294,1,0.2,20
15,3,4,-1.386294,1,-1.386294,1,0.2,20
16,4,4,-1.386294,1,-1.386294,1,0.2,20
17,1,1,1.386294,1,-1.386294,1,0.2,20
18,2,1,1.386294,1,-1.386294,1,0.2,20
19,3,1,1.386294,1,-1.386294,1,0.2,20
20,4,1,1.386294,1,-1.386294,1,0.2,20
21,1,2,1.386294,1,-1.386294,1,0.2,20
22,2,2,1.386294,1,-1.386294,1,0.2,20
23,3,2,1.386294,1,-1.386294,1,0.2,20
24,4,2,1.386294,1,-1.386294,1,0.2,20
25,1,3,1.386294,1,-1.386294,1,0.2,20
26,2,3,1.386294,1,-1.386294,1,0.2,20
27,3,3,1.386294,1,-1.386294,1,0.2,20
28,4,3,1.386294,1,-1.386294,1,0.2,20
29,1,4,1.386294,1,-1.386294,1,0.2,20
30,2,4,1.386294,1,-1.386294,1,0.2,20
31,3,4,1.386294,1,-1.386294,1,0.2,20
32,4,4,1.386294,1,-1.386294,1,0.2,20
33,1,1,-1.386294,1,1.386294,1,0.2,20
34,2,1,-1.386294,1,1.386294,1,0.2,20
35,3,1,-1.386294,1,1.386294,1,0.2,20
36,4,1,-1.386294,1,1.386294,1,0.2,20
37,1,2,-1.386294,1,1.386294,1,0.2,20
38,2,2,-1.386294,1,1.386294,1,0.2,20
39,3,2,-1.386294,1,1.386294,1,0.2,20
40,4,2,-1.386294,1,1.386294,1,0.2,20
41,1,3,-1.386294,1,1.386294,1,0.2,20
42,2,3,-1.386294,1,1.386294,1,0.2,20
43,3,3,-1.386294,1,1.386294,1,0.2,20
44,4,3,-1.386294,1,1.386294,1,0.2,20
45,1,4,-1.386294,1,1.386294,1,0.2,20
46,2,4,-1.386294,1,1.386294,1,0.2,20
47,3,4,-1.386294,1,1.386294,1,0.2,20
48,4,4,-1.386294,1,1.386294,1,0.2,20
49,1,1,1.386294,1,1.386294,1,0.2,20
50,2,1,1.386294,1,1.386294,1,0.2,20
51,3,1,1.386294,1,1.386294,1,0.2,20
52,4,1,1.386294,1,1.386294,1,0.2,20
53,1,2,1.386294,1,1.386294,1,0.2,20
54,2,2,1.386294,1,1.386294,1,0.2,20
55,3,2,1.386294,1,1.386294,1,0.2,20
56,4,2,1.386294,1,1.386294,1,0.2,20
57,1,3,1.386294,1,1.386294,1,0.2,20
58,2,3,1.386294,1,1.386294,1,0.2,20
59,3,3,1.386294,1,1.386294,1,0.2,20
60,4,3,1.386294,1,1.386294,1,0.2,20
61,1,4,1.386294,1,1.386294,1,0.2,20
62,2,4,1.386294,1,1.386294,1,0.2,20
63,3,4,1.386294,1,1.386294,1,0.2,20
64,4,4,1.386294,1,1.386294,1,0.2,20
65,1,1,-1.386294,1,-1.386294,1,0.8,20
66,2,1,-1.386294,1,-1.386294,1,0.8,20
67,3,1,-1.386294,1,-1.386294,1,0.8,20
68,4,1,-1.386294,1,-1.386294,1,0.8,20
