,n.swab,n.PCR,B1,B2,G1,G2,psi,lambda
1,1,1,-1.386294,1,-1.386294,1,0.2,2
2,2,1,-1.386294,1,-1.386294,1,0.2,2
3,3,1,-1.386294,1,-1.386294,1,0.2,2
4,4,1,-1.386294,1,-1.386294,1,0.2,2
5,1,2,-1.386294,1,-1.386294,1,0.2,2
6,2,2,-1.386294,1,-1.386294,1,0.2,2
7,3,2,-1.386294,1,-1.386294,1,0.2,2
8,4,2,-1.386294,1,-1.386294,1,0.2,2
9,1,3,-1.386294,1,-1.386294,1,0.2,2
10,2,3,-1.386294,1,-1.386294,1,0.2,2
11,3,3,-1.386294,1,-1.386294,1,0.2,2
12,4,3,-1.386294,1,-1.386294,1,0.2,2
13,1,4,-1.386294,1,-1.386294,1,0.2,2
14,2,4,-1.386294,1,-1.386294,1,0.2,2
15,3,4,-1.386294,1,-1.386294,1,0.2,2
16,4,4,-1.386294,1,-1.386294,1,0.2,2
17,1,1,1.386294,1,-1.386294,1,0.2,2
18,2,1,1.386294,1,-1.386294,1,0.2,2
19,3,1,1.386294,1,-1.386294,1,0.2,2
20,4,1,1.386294,1,-1.386294,1,0.2,2
21,1,2,1.386294,1,-1.386294,1,0.2,2
22,2,2,1.386294,1,-1.386294,1,0.2,2
23,3,2,1.386294,1,-1.386294,1,0.2,2
24,4,2,1.386294,1,-1.386294,1,0.2,2
25,1,3,1.386294,1,-1.386294,1,0.2,2
26,2,3,1.386294,1,-1.386294,1,0.2,2
27,3,3,1.386294,1,-1.386294,1,0.2,2
28,4,3,1.386294,1,-1.386294,1,0.2,2
29,1,4,1.386294,1,-1.386294,1,0.2,2
30,2,4,1.386294,1,-1.386294,1,0.2,2
31,3,4,1.386294,1,-1.386294,1,0.2,2
32,4,4,1.386294,1,-1.386294,1,0.2,2
33,1,1,-1.386294,1,1.386294,1,0.2,2
34,2,1,-1.386294,1,1.386294,1,0.2,2
35,3,1,-1.386294,1,1.386294,1,0.2,2
36,4,1,-1.386294,1,1.386294,1,0.2,2
37,1,2,-1.386294,1,1.386294,1,0.2,2
38,2,2,-1.386294,1,1.386294,1,0.2,2
39,3,2,-1.386294,1,1.386294,1,0.2,2
40,4,2,-1.386294,1,1.386294,1,0.2,2
41,1,3,-1.386294,1,1.386294,1,0.2,2
42,2,3,-1.386294,1,1.386294,1,0.2,2
43,3,3,-1.386294,1,1.386294,1,0.2,2
44,4,3,-1.386294,1,1.386294,1,0.2,2
45,1,4,-1.386294,1,1.386294,1,0.2,2
46,2,4,-1.386294,1,1.386294,1,0.2,2
47,3,4,-1.386294,1,1.386294,1,0.2,2
48,4,4,-1.386294,1,1.386294,1,0.2,2
49,1,1,1.386294,1,1.386294,1,0.2,2
50,2,1,1.386294,1,1.386294,1,0.2,2
51,3,1,1.386294,1,1.386294,1,0.2,2
52,4,1,1.386294,1,1.386294,1,0.2,2
53,1,2,1.386294,1,1.386294,1,0.2,2
54,2,2,1.386294,1,1.386294,1,0.2,2
55,3,2,1.386294,1,1.386294,1,0.2,2
56,4,2,1.386294,1,1.386294,1,0.2,2
57,1,3,1.386294,1,1.386294,1,0.2,2
58,2,3,1.386294,1,1.386294,1,0.2,2
59,3,3,1.386294,1,1.386294,1,0.2,2
60,4,3,1.386294,1,1.386294,1,0.2,2
61,1,4,1.386294,1,1.386294,1,0.2,2
62,2,4,1.386294,1,1.386294,1,0.2,2
63,3,4,1.386294,1,1.386294,1,0.2,2
64,4,4,1.386294,1,1.386294,1,0.2,2
65,1,1,-1.386294,1,-1.386294,1,0.8,2
66,2,1,-1.386294,1,-1.386294,1,0.8,2
67,3,1,-1.386294,1,-1.386294,1,0.8,2
68,4,1,-1.386294,1,-1.386294,1,0.8,2
69,1,2,-1.386294,1,-1.386294,1,0.8,2
70,2,2,-1.386294,1,-1.386294,1,0.8,2
71,3,2,-1.386294,1,-1.386294,1,0.8,2
72,4,2,-1.386294,1,-1.386294,1,0.8,2
73,1,3,-1.386294,1,-1.386294,1,0.8,2
74,2,3,-1.386294,1,-1.386294,1,0.8,2
75,3,3,-1.386294,1,-1.386294,1,0.8,2
76,4,3,-1.386294,1,-1.386294,1,0.8,2
77,1,4,-1.386294,1,-1.386294,1,0.8,2
78,2,4,-1.386294,1,-1.386294,1,0.8,2
79,3,4,-1.386294,1,-1.386294,1,0.8,2
80,4,4,-1.386294,1,-1.386294,1,0.8,2
81,1,1,1.386294,1,-1.386294,1,0.8,2
82,2,1,1.386294,1,-1.386294,1,0.8,2
83,3,1,1.386294,1,-1.386294,1,0.8,2
84,4,1,1.386294,1,-1.386294,1,0.8,2
85,1,2,1.386294,1,-1.386294,1,0.8,2
86,2,2,1.386294,1,-1.386294,1,0.8,2
87,3,2,1.386294,1,-1.386294,1,0.8,2
88,4,2,1.386294,1,-1.386294,1,0.8,2
89,1,3,1.386294,1,-1.386294,1,0.8,2
90,2,3,1.386294,1,-1.386294,1,0.8,2
91,3,3,1.386294,1,-1.386294,1,0.8,2
92,4,3,1.386294,1,-1.386294,1,0.8,2
93,1,4,1.386294,1,-1.386294,1,0.8,2
94,2,4,1.386294,1,-1.386294,1,0.8,2
95,3,4,1.386294,1,-1.386294,1,0.8,2
96,4,4,1.386294,1,-1.386294,1,0.8,2
97,1,1,-1.386294,1,1.386294,1,0.8,2
98,2,1,-1.386294,1,1.386294,1,0.8,2
99,3,1,-1.386294,1,1.386294,1,0.8,2
100,4,1,-1.386294,1,1.386294,1,0.8,2
101,1,2,-1.386294,1,1.386294,1,0.8,2
102,2,2,-1.386294,1,1.386294,1,0.8,2
103,3,2,-1.386294,1,1.386294,1,0.8,2
104,4,2,-1.386294,1,1.386294,1,0.8,2
105,1,3,-1.386294,1,1.386294,1,0.8,2
106,2,3,-1.386294,1,1.386294,1,0.8,2
107,3,3,-1.386294,1,1.386294,1,0.8,2
108,4,3,-1.386294,1,1.386294,1,0.8,2
109,1,4,-1.386294,1,1.386294,1,0.8,2
110,2,4,-1.386294,1,1.386294,1,0.8,2
111,3,4,-1.386294,1,1.386294,1,0.8,2
112,4,4,-1.386294,1,1.386294,1,0.8,2
113,1,1,1.386294,1,1.386294,1,0.8,2
114,2,1,1.386294,1,1.386294,1,0.8,2
115,3,1,1.386294,1,1.386294,1,0.8,2
116,4,1,1.386294,1,1.386294,1,0.8,2
117,1,2,1.386294,1,1.386294,1,0.8,2
118,2,2,1.386294,1,1.386294,1,0.8,2
119,3,2,1.386294,1,1.386294,1,0.8,2
120,4,2,1.386294,1,1.386294,1,0.8,2
121,1,3,1.386294,1,1.386294,1,0.8,2
122,2,3,1.386294,1,1.386294,1,0.8,2
123,3,3,1.386294,1,1.386294,1,0.8,2
124,4,3,1.386294,1,1.386294,1,0.8,2
125,1,4,1.386294,1,1.386294,1,0.8,2
126,2,4,1.386294,1,1.386294,1,0.8,2
127,3,4,1.386294,1,1.386294,1,0.8,2
128,4,4,1.386294,1,1.386294,1,0.8,2
