"","true_n.swab","true_n.PCR","true_B1","true_B2","true_G1","true_G2","true_psi","true_lambda","B1","B2","G1","G2","sigma1","sigma2","sigma3","psi","lambda"
"result.1",1,3,-1.386294,1,1.386294,1,0.8,20,1.81230754249585,1.80180406252947,1.73648969690926,0.97554981950001,1.07806595020855,0.782762991486674,0.985967191554063,0.647855511621701,21.4683700382991
"result.2",1,3,-1.386294,1,1.386294,1,0.8,20,0.598792851065854,1.44443464461561,0.98563355400547,1.09812005710781,0.753514742901506,1.06996854014431,1.01482131402577,0.746863583892886,22.7052733787258
"result.3",1,3,-1.386294,1,1.386294,1,0.8,20,-0.0924897234764229,0.926549172738368,0.846356434781042,1.11474751161873,0.792251512844197,0.839587031422118,0.952025978281457,0.706639665578687,24.4091310283097
"result.4",1,3,-1.386294,1,1.386294,1,0.8,20,0.956958222152051,1.29889483381697,1.8400759841374,0.648365925487327,0.94167278804866,0.822358576058287,1.01133703622895,0.663091337067302,22.3021893280434
"result.5",1,3,-1.386294,1,1.386294,1,0.8,20,0.602755814848113,2.09566566456527,1.13337883107588,1.32415904666435,0.910937540238814,0.780436967445084,1.03499052374467,0.641800554144317,23.4657210871706
"result.6",1,3,-1.386294,1,1.386294,1,0.8,20,0.723281542331072,1.78540179615239,1.15126650204696,1.31242446358281,0.857762219503083,0.79389621209978,1.03466466774659,0.64565650216704,23.465223659406
"result.7",1,3,-1.386294,1,1.386294,1,0.8,20,0.790657632695025,1.78789245689457,1.11968197384225,1.33186130484993,1.00003544978546,0.677509194252281,1.03431576619295,0.650384077926622,23.3118942427124
"result.8",1,3,-1.386294,1,1.386294,1,0.8,20,0.151074844553944,1.28009625569943,1.13308542583678,1.32203599138724,0.717601316866879,0.950843033943042,1.03318141796244,0.694874456244161,23.2672660754593
"result.9",1,3,-1.386294,1,1.386294,1,0.8,20,0.206329757065878,0.908639729860464,1.40202793462462,1.05852319402223,0.874814229873576,0.907095389639717,1.01335309447978,0.740954545742326,26.366737750243
"result.10",1,3,-1.386294,1,1.386294,1,0.8,20,0.898340663297282,1.86367850469496,0.736936111107361,1.5103665053927,0.717995592611526,0.997355713714592,0.994277059117379,0.678235712629571,22.7842336851554
"result.11",1,3,-1.386294,1,1.386294,1,0.8,20,0.924899400295633,0.652463131105312,1.60408305370505,1.15121637258864,0.816337438082999,0.978630109497871,0.936016220925542,0.692174625720585,25.7847648416086
"result.12",1,3,-1.386294,1,1.386294,1,0.8,20,1.08631633819475,2.28378904448393,1.50655564077797,0.967900860602167,1.19602161696835,0.66165717751844,1.06187731195756,0.676403237021677,24.217632699902
"result.13",1,3,-1.386294,1,1.386294,1,0.8,20,0.754086151821964,1.85421094464939,1.46877130179112,1.20721871027832,0.683232755112424,1.10785252016015,1.03876346172952,0.683063091632889,22.029068662863
"result.14",1,3,-1.386294,1,1.386294,1,0.8,20,1.48574519683154,2.09890195975808,0.803835612730125,1.42536467541091,1.02977560485189,0.873833315452048,1.02318843203611,0.651784436607325,24.4145230511673
"result.15",1,3,-1.386294,1,1.386294,1,0.8,20,0.672890867013174,1.44299306996977,1.64841949516816,1.0407508159036,0.947168330751914,0.663559629169978,0.957133631597469,0.698274154007692,21.5161448983969
"result.16",1,3,-1.386294,1,1.386294,1,0.8,20,0.906650261851817,1.86863827053577,1.51507793078028,0.902227474115398,0.998659176746929,0.974653276504837,1.01065436672442,0.647533173199545,23.7800186907541
"result.17",1,3,-1.386294,1,1.386294,1,0.8,20,0.671936557198949,1.04757744097919,2.17956805861274,0.721442599112124,0.848622652441711,0.979472121623197,1.03685010966429,0.712554492707637,23.0670208208317
"result.18",1,3,-1.386294,1,1.386294,1,0.8,20,1.03713756414267,1.87509612963,1.36243408905888,1.21354631322617,0.83365779065505,0.842302615487109,1.03385350864032,0.632188769549484,23.0887390847119
"result.19",1,3,-1.386294,1,1.386294,1,0.8,20,1.21757294990941,1.93100980412303,2.15975604228904,0.740993571370858,0.988480957142175,0.786870008035125,1.00075132105411,0.658787839395357,23.2179701478295
"result.20",1,3,-1.386294,1,1.386294,1,0.8,20,1.00472106952307,2.01559193165027,0.95647718390769,1.291392635007,0.812405558241475,1.02277931712093,1.01986601178828,0.633563558768418,20.7686616248437
"result.21",1,3,-1.386294,1,1.386294,1,0.8,20,0.0583445249089063,0.587313106307804,1.19802121321421,1.0001674299248,0.65597515393597,1.10603913635932,0.957194097431049,0.769480686410941,23.392166274368
"result.22",1,3,-1.386294,1,1.386294,1,0.8,20,0.367134002171133,1.08671507311119,2.00104259707086,1.04322138199959,0.807490228804771,1.08236561948283,0.9904381331182,0.699969499965953,25.4751920202297
"result.23",1,3,-1.386294,1,1.386294,1,0.8,20,0.374244796576792,0.994671753163603,1.09394220716746,1.2248241165067,0.985142844327642,0.835309554466995,0.967064291875899,0.716195133908582,20.2564343320426
"result.24",1,3,-1.386294,1,1.386294,1,0.8,20,0.361433698524724,1.21638149591554,1.15223040737286,1.34493514385558,0.970936135804835,0.709125594044652,1.04441550847906,0.682422719354557,23.8796914612599
"result.25",1,3,-1.386294,1,1.386294,1,0.8,20,1.77921333687677,2.33016123516502,1.36046871458721,1.16388111742549,1.09313565617452,0.721456671406596,0.968839838445852,0.611546806281883,21.6041662183604
"result.26",1,3,-1.386294,1,1.386294,1,0.8,20,0.373054376093425,0.680648552802406,1.89516612308308,0.768449789042486,0.623988393921647,1.18089708069111,0.991997592235253,0.676128346278045,21.6970735931119
"result.27",1,3,-1.386294,1,1.386294,1,0.8,20,0.396107293187766,1.07439859047079,1.40324870483757,1.05501377578447,0.817986220198017,1.09679376381643,0.996342490829779,0.699831534123353,26.9787774581651
"result.28",1,3,-1.386294,1,1.386294,1,0.8,20,0.984976336496148,1.16166674141461,1.60283033345631,0.965806958464121,1.01601992462365,0.8870075994765,0.9801084481662,0.683964603760581,21.8606703463565
"result.29",1,3,-1.386294,1,1.386294,1,0.8,20,0.996643720696476,1.60880286485976,1.47095474110896,1.05810671475016,0.978283867404626,0.936724501248164,1.02485525862144,0.653970735050632,22.8380710703499
"result.30",1,3,-1.386294,1,1.386294,1,0.8,20,0.547664298253652,0.56244663640248,1.8349438914692,1.0002676049926,0.896119644892621,0.915654866265207,0.993061035115329,0.743469869787499,21.5166675466271
"result.31",1,3,-1.386294,1,1.386294,1,0.8,20,1.60191676288601,2.10782210007644,1.56765286749307,1.01108372452153,1.20084913252892,0.824457043127003,0.942066186230569,0.663109672370611,24.8721798206223
"result.32",1,3,-1.386294,1,1.386294,1,0.8,20,0.842058484582249,1.97415002198362,0.773363979489031,1.38019216485691,0.877674983749893,0.880410520159084,1.02581783382351,0.662245542167737,24.5899370568908
"result.33",1,3,-1.386294,1,1.386294,1,0.8,20,0.81159732627079,1.45378845116175,2.37440571713337,0.64345507202501,0.918744238665679,0.983795990464976,1.00005727135129,0.677486929142793,29.5321855451697
"result.34",1,3,-1.386294,1,1.386294,1,0.8,20,0.885201626831949,1.27666260012086,1.94939666890668,0.759992798780066,0.906348657451954,0.966051502166203,1.01472065416976,0.695627639659869,20.4731942473528
"result.35",1,3,-1.386294,1,1.386294,1,0.8,20,0.698833156739694,1.50235810202515,1.07883595643334,1.02666612651259,0.908071819133752,0.715541612534042,0.99444250342596,0.693531113960784,17.631761704572
"result.36",1,3,-1.386294,1,1.386294,1,0.8,20,1.36716782748938,2.36155076902616,2.07315451217198,0.933751510506765,0.994962231615288,0.717467823873513,0.98138694190138,0.666885623217224,21.6581193482019
"result.37",1,3,-1.386294,1,1.386294,1,0.8,20,0.0977560830470867,0.531010086903931,1.05744372945391,0.985316489839327,0.770795046093059,1.01309441136002,0.95020624880485,0.762877700845396,25.7416599560717
"result.38",1,3,-1.386294,1,1.386294,1,0.8,20,0.741872474928175,1.59177271795633,1.22856985156044,0.974428644735779,0.815568744703832,0.910735707919464,1.03362335923611,0.683046986191648,21.9370917092565
"result.39",1,3,-1.386294,1,1.386294,1,0.8,20,1.60916975774117,2.26152236213369,2.59725929317912,0.63234880626575,1.15191906505575,0.654651997133167,1.03506429218393,0.635614739524536,25.0959119287093
"result.40",1,3,-1.386294,1,1.386294,1,0.8,20,0.294306473321204,0.948364644311709,1.16408235669473,1.01993159112305,0.908439865832169,0.741635320307639,1.00775874348127,0.743290256727135,22.0104071491627
"result.41",1,3,-1.386294,1,1.386294,1,0.8,20,0.103425953961879,1.02817567670616,1.02154793319373,1.00663955699843,0.718121927173969,0.964533212188955,1.05801513533198,0.743585919596893,27.7105765521997
"result.42",1,3,-1.386294,1,1.386294,1,0.8,20,0.729736947111003,1.65968576783454,1.33063767722397,0.937204049038882,0.838499148303931,0.971918292676711,0.989285858339137,0.638359491097614,21.6054942033438
"result.43",1,3,-1.386294,1,1.386294,1,0.8,20,0.597244952372688,0.883484051653827,1.62060181218886,0.792215084529599,0.636297324440007,1.12832695066751,0.95889766587124,0.704070380963467,28.3541229847572
"result.44",1,3,-1.386294,1,1.386294,1,0.8,20,0.962121838440506,1.47753199758401,1.19607067247692,1.24260289013291,1.04418662339465,0.902208190476274,0.981441878685623,0.676120521636738,28.3868445336159
"result.45",1,3,-1.386294,1,1.386294,1,0.8,20,0.667638611690045,1.16598508806286,1.45569984065076,0.991177296332902,0.706968766050482,1.09903378915937,1.03256288964315,0.746584024156057,21.8024020915203
"result.46",1,3,-1.386294,1,1.386294,1,0.8,20,0.879759269147476,1.78267978426555,1.00994670834786,1.40458414445031,1.09004353061589,0.6303897454415,1.01862610614552,0.649761513292523,22.1425423990774
"result.47",1,3,-1.386294,1,1.386294,1,0.8,20,0.401310688725468,0.67739603665695,1.38875184709571,1.01692965798321,1.02539302905781,0.595558359923591,1.0464604658158,0.715830730910764,23.6964979385885
"result.48",1,3,-1.386294,1,1.386294,1,0.8,20,0.6056281585674,0.913951856101727,1.0837685147037,1.25646530330363,0.866731964659011,0.979916168672117,1.02232139114549,0.691480719686543,24.7324625591428
"result.49",1,3,-1.386294,1,1.386294,1,0.8,20,0.586746115900634,1.19073915783556,0.798996167327814,1.30752635425229,0.908749962945833,0.949555317719817,1.00292698624576,0.682146249994809,21.8534183879755
"result.50",1,3,-1.386294,1,1.386294,1,0.8,20,0.498627957365599,1.31206356783842,1.92465382497891,0.806773207877401,0.570909585561584,1.23038826558744,0.97455035041785,0.70372857237587,21.8343104592811
